Date;PM10;SO2;CO;O3;NO2;Max;Critical Component;Category
6/16/2020;25;1;50;12;0;50;CO;Baik
6/17/2020;23;1;25;15;0;25;CO;Baik
6/18/2020;24;1;20;0;0;24;PM10;Baik
6/19/2020;18;1;24;5;0;24;CO;Baik
6/20/2020;18;1;20;10;0;20;CO;Baik
6/21/2020;19;1;22;3;0;22;CO;Baik
6/22/2020;19;1;23;0;0;23;CO;Baik
6/23/2020;17;1;26;0;0;26;CO;Baik
6/24/2020;9;1;17;8;0;17;CO;Baik
6/25/2020;23;1;40;13;0;40;CO;Baik
6/26/2020;18;1;24;7;0;24;CO;Baik
6/27/2020;23;1;28;7;0;28;CO;Baik
6/28/2020;25;1;28;9;0;28;CO;Baik
6/29/2020;26;1;24;11;0;26;PM10;Baik
6/30/2020;18;1;30;9;0;30;CO;Baik
07/01/2020;14;1;21;6;0;21;CO;Baik
07/02/2020;21;1;33;6;0;33;CO;Baik
07/03/2020;21;1;27;10;0;27;CO;Baik
07/04/2020;19;1;23;11;0;23;CO;Baik
07/05/2020;35;1;56;15;0;56;CO;Sedang
07/06/2020;25;1;26;10;0;26;CO;Baik
07/07/2020;20;0;28;10;0;28;CO;Baik
07/08/2020;20;1;36;10;0;36;CO;Baik
07/09/2020;31;1;17;6;0;31;PM10;Baik
07/10/2020;14;1;16;11;0;16;CO;Baik
07/11/2020;19;1;25;3;0;25;CO;Baik
07/12/2020;19;1;21;10;0;21;CO;Baik
7/13/2020;24;1;28;15;0;28;CO;Baik
7/14/2020;21;1;25;11;0;25;CO;Baik
7/15/2020;26;1;33;11;0;33;CO;Baik
7/16/2020;23;1;24;12;0;24;CO;Baik
7/17/2020;35;1;33;20;0;35;PM10;Baik
7/18/2020;17;0;12;11;0;17;PM10;Baik
7/19/2020;21;1;30;7;0;30;CO;Baik
7/20/2020;10;0;15;4;0;15;CO;Baik
7/21/2020;16;1;21;11;0;21;CO;Baik
7/22/2020;21;1;30;36;0;36;O3;Baik
7/23/2020;22;0;32;23;0;32;CO;Baik
7/24/2020;18;0;57;22;0;57;CO;Sedang
7/25/2020;14;2;46;0;0;46;CO;Baik
7/26/2020;25;1;21;8;0;25;PM10;Baik
7/27/2020;28;1;21;12;0;28;PM10;Baik
7/28/2020;19;1;10;7;0;19;PM10;Baik
7/29/2020;13;1;5;11;0;13;PM10;Baik
7/30/2020;18;1;19;7;0;19;CO;Baik
7/31/2020;18;1;7;7;0;18;PM10;Baik
08/01/2020;20;1;0;0;0;20;PM10;Baik
