pm10,pm2.5,so2,co,o3,no2,category
21,43,13,6,13,4,Baik
21,44,13,6,13,4,Baik
19,40,13,7,13,3,Baik
16,36,13,6,13,3,Baik
16,35,13,6,13,3,Baik
16,36,13,7,13,3,Baik
28,53,13,11,13,4,Sedang
27,52,13,6,13,3,Sedang
22,46,13,5,13,4,Baik
30,55,13,7,13,4,Sedang
27,53,13,3,13,4,Sedang
23,49,13,5,13,3,Baik
20,42,13,4,13,3,Baik
13,29,13,3,13,3,Baik
15,33,13,2,13,3,Baik
24,48,13,6,13,4,Baik
21,45,13,6,13,4,Baik
18,38,13,3,13,4,Baik
17,36,13,4,13,3,Baik
19,42,13,4,13,3,Baik
14,31,13,3,13,2,Baik
10,23,13,1,13,3,Baik
9,20,13,2,13,3,Baik
7,16,13,5,13,2,Baik
9,19,13,4,13,2,Baik
17,36,13,4,13,3,Baik
24,48,13,6,13,3,Baik
29,54,13,2,13,2,Sedang
40,63,13,3,13,4,Sedang
32,56,13,5,13,4,Sedang
21,43,13,6,13,3,Baik
13,29,13,3,13,3,Baik
18,38,13,3,13,3,Baik
17,35,13,2,13,2,Baik
18,36,13,1,13,2,Baik
19,38,13,3,13,2,Baik
19,38,13,3,13,3,Baik
15,30,13,3,13,3,Baik
16,33,13,1,13,3,Baik
13,28,13,1,13,4,Baik
10,22,13,2,13,3,Baik
10,21,13,2,13,2,Baik
10,21,13,0,13,2,Baik
14,28,13,2,13,3,Baik
16,31,13,3,13,3,Baik
12,24,13,4,13,3,Baik
11,23,13,6,13,3,Baik
13,26,13,7,13,3,Baik
12,25,13,8,13,3,Baik
19,38,13,11,13,3,Baik
14,28,13,7,13,3,Baik
15,29,13,9,13,4,Baik
18,33,0,7,3,4,Baik
10,22,13,8,13,3,Baik
8,18,13,6,13,3,Baik
13,27,13,9,13,3,Baik
13,27,13,8,13,3,Baik
19,38,13,9,13,4,Baik
20,39,13,9,13,2,Baik
12,24,13,6,13,2,Baik
11,23,13,8,13,3,Baik
16,31,55,8,13,6,Sedang
15,29,40,7,7,7,Baik
15,28,57,8,40,6,Sedang
17,29,54,12,44,6,Sedang
20,36,7,10,7,5,Baik
12,21,0,9,2,5,Baik
