date;pm10;pm2.5;so2;co;o3;no2;max;critical component;category
04/12/2021;46;19;13;9;20;5;46;PM10;Baik
04/13/2021;47;19;18;13;18;3;47;PM10;Baik
04/14/2021;43;17;18;11;26;2;43;PM10;Baik
04/15/2021;36;15;17;10;30;3;36;PM10;Baik
04/16/2021;28;11;14;8;29;3;29;O3;Baik
04/17/2021;35;14;15;10;20;3;35;PM10;Baik
04/18/2021;47;20;14;7;16;4;47;PM10;Baik
04/19/2021;52;23;14;10;22;5;52;PM10;Sedang
04/20/2021;33;13;15;6;18;3;33;PM10;Baik
04/21/2021;33;13;14;9;33;3;33;PM10;Baik
04/22/2021;35;13;15;9;51;2;51;O3;Sedang
04/23/2021;34;13;14;8;NaN;2;34;PM10;Baik
04/24/2021;44;18;15;12;NaN;2;44;PM10;Baik
04/25/2021;43;17;15;11;38;3;43;PM10;Baik
04/26/2021;52;22;16;10;23;3;52;PM10;Sedang
04/27/2021;56;26;19;10;23;3;56;PM10;Sedang
04/28/2021;46;18;20;7;20;3;46;PM10;Baik
04/29/2021;52;22;17;13;31;4;52;PM10;Sedang
04/30/2021;53;22;17;13;NaN;4;53;PM10;Sedang
05/01/2021;27;57;17;9;50;5;57;PM2.5;Sedang
05/02/2021;34;64;19;7;49;7;64;PM2.5;Sedang
05/03/2021;24;54;14;9;39;6;54;PM2.5;Sedang
05/04/2021;29;60;14;9;36;5;60;PM2.5;Sedang
05/05/2021;28;58;16;8;47;6;58;PM2.5;Sedang
05/06/2021;25;56;18;10;NaN;5;56;PM2.5;Sedang
05/07/2021;17;45;20;6;NaN;3;45;PM2.5;Baik
05/08/2021;19;50;23;7;38;4;50;PM2.5;Baik
05/09/2021;20;50;20;13;38;6;50;PM2.5;Baik
05/10/2021;17;45;18;7;40;6;45;PM2.5;Baik
05/11/2021;20;52;20;9;59;4;59;O3;Sedang
05/12/2021;18;49;19;7;52;4;52;O3;Sedang
05/13/2021;23;55;20;5;54;5;55;PM2.5;Sedang
05/14/2021;23;55;16;8;39;5;55;PM2.5;Sedang
05/15/2021;21;53;16;6;20;5;53;PM2.5;Sedang
05/16/2021;17;46;18;5;20;6;46;PM2.5;Baik
05/17/2021;19;50;15;5;20;5;50;PM2.5;Baik
05/18/2021;22;54;19;6;30;4;54;PM2.5;Sedang
05/19/2021;22;53;15;8;NaN;4;53;PM2.5;Sedang
05/20/2021;26;57;16;12;NaN;5;57;PM2.5;Sedang
05/21/2021;29;59;19;16;45;4;59;PM2.5;Sedang
05/22/2021;20;50;15;10;42;3;50;PM2.5;Baik
05/23/2021;22;52;12;8;29;4;52;PM2.5;Sedang
05/24/2021;24;54;12;8;19;5;54;PM2.5;Sedang
05/25/2021;31;60;13;12;26;5;60;PM2.5;Sedang
05/26/2021;37;65;16;13;37;6;65;PM2.5;Sedang
05/27/2021;36;64;19;7;46;7;64;PM2.5;Sedang
05/28/2021;31;60;21;4;57;4;60;PM2.5;Sedang
05/29/2021;26;55;20;8;NaN;6;55;PM2.5;Sedang
05/30/2021;22;51;19;11;36;6;51;PM2.5;Sedang
05/31/2021;20;48;16;9;23;5;48;PM2.5;Baik
06/01/2021;24;53;21;10;30;5;53;PM2.5;Sedang
06/02/2021;28;56;16;11;32;5;56;PM2.5;Sedang
06/03/2021;40;65;15;13;20;7;65;PM2.5;Sedang
06/04/2021;46;70;51;10;16;6;70;PM2.5;Sedang
06/05/2021;51;74;63;13;NaN;7;74;PM2.5;Sedang
06/06/2021;36;61;NaN;9;NaN;6;61;PM2.5;Sedang
06/07/2021;27;54;NaN;9;NaN;6;54;PM2.5;Sedang
06/08/2021;24;50;NaN;12;NaN;5;50;PM2.5;Sedang
06/09/2021;17;38;NaN;4;NaN;4;38;PM2.5;Baik
06/10/2021;17;38;NaN;4;NaN;5;38;PM2.5;Baik
06/11/2021;19;50;NaN;6;NaN;7;50;PM2.5;Sedang
06/12/2021;2;41;NaN;6;NaN;7;41;PM2.5;Baik
06/13/2021;0;51;NaN;11;NaN;8;51;PM2.5;Sedang
06/14/2021;7;68;NaN;11;NaN;9;68;PM2.5;Sedang
06/15/2021;34;62;NaN;8;NaN;6;62;PM2.5;Sedang
06/16/2021;27;51;NaN;11;NaN;6;51;PM2.5;Sedang
06/17/2021;11;24;NaN;10;NaN;5;24;PM2.5;Baik
06/18/2021;24;47;NaN;21;NaN;8;47;PM2.5;Baik
06/19/2021;26;51;NaN;16;NaN;7;51;PM2.5;Sedang
06/20/2021;24;49;NaN;10;NaN;8;49;PM2.5;Baik
06/21/2021;29;53;NaN;14;NaN;9;53;PM2.5;Sedang
06/22/2021;21;43;NaN;16;NaN;6;43;PM2.5;Baik
06/23/2021;17;35;NaN;17;NaN;5;35;PM2.5;Baik
06/24/2021;25;49;NaN;16;NaN;5;49;PM2.5;Baik
06/25/2021;19;38;NaN;11;NaN;4;38;PM2.5;Baik
06/26/2021;21;43;NaN;7;NaN;5;43;PM2.5;Baik
06/27/2021;27;51;NaN;6;NaN;7;51;PM2.5;Sedang
06/28/2021;25;49;NaN;8;NaN;7;49;PM2.5;Baik
06/29/2021;19;39;NaN;13;NaN;5;39;PM2.5;Baik
06/30/2021;34;57;NaN;13;NaN;6;57;PM2.5;Sedang
07/01/2021;23;45;NaN;7;NaN;5;45;PM2.5;Baik
07/02/2021;29;53;NaN;10;NaN;5;53;PM2.5;Sedang
07/03/2021;29;54;NaN;9;NaN;5;54;PM2.5;Sedang
07/04/2021;26;52;NaN;6;NaN;5;52;PM2.5;Sedang
07/05/2021;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
07/06/2021;15;34;NaN;11;NaN;3;34;PM2.5;Baik
07/07/2021;19;40;NaN;11;NaN;4;40;PM2.5;Baik
07/08/2021;23;47;NaN;9;NaN;4;47;PM2.5;Baik
07/09/2021;25;50;NaN;11;NaN;3;50;PM2.5;Sedang
07/10/2021;19;39;NaN;6;NaN;3;39;PM2.5;Baik
07/11/2021;21;43;NaN;6;NaN;4;43;PM2.5;Baik
07/12/2021;21;44;NaN;6;NaN;4;44;PM2.5;Baik
07/13/2021;19;40;NaN;7;NaN;3;40;PM2.5;Baik
07/14/2021;16;36;NaN;6;NaN;3;36;PM2.5;Baik
07/15/2021;16;35;NaN;6;NaN;3;35;PM2.5;Baik
07/16/2021;16;36;NaN;7;NaN;3;36;PM2.5;Baik
07/17/2021;28;53;NaN;11;NaN;4;53;PM2.5;Sedang
07/18/2021;27;52;NaN;6;NaN;3;52;PM2.5;Sedang
07/19/2021;22;46;NaN;5;NaN;4;46;PM2.5;Baik
07/20/2021;30;55;NaN;7;NaN;4;55;PM2.5;Sedang
07/21/2021;27;53;NaN;3;NaN;4;53;PM2.5;Sedang
07/22/2021;23;49;NaN;5;NaN;3;49;PM2.5;Baik
07/23/2021;20;42;NaN;4;NaN;3;42;PM2.5;Baik
07/24/2021;13;29;NaN;3;NaN;3;29;PM2.5;Baik
07/25/2021;15;33;NaN;2;NaN;3;33;PM2.5;Baik
07/26/2021;24;48;NaN;6;NaN;4;48;PM2.5;Baik
07/27/2021;21;45;NaN;6;NaN;4;45;PM2.5;Baik
07/28/2021;18;38;NaN;3;NaN;4;38;PM2.5;Baik
07/29/2021;17;36;NaN;4;NaN;3;36;PM2.5;Baik
07/30/2021;19;42;NaN;4;NaN;3;42;PM2.5;Baik
07/31/2021;14;31;NaN;3;NaN;2;31;PM2.5;Baik
08/01/2021;10;23;NaN;1;NaN;3;23;PM2.5;Baik
08/02/2021;9;20;NaN;2;NaN;3;20;PM2.5;Baik
08/03/2021;7;16;NaN;5;NaN;2;16;PM2.5;Baik
08/04/2021;9;19;NaN;4;NaN;2;19;PM2.5;Baik
08/05/2021;17;36;NaN;4;NaN;3;36;PM2.5;Baik
08/06/2021;24;48;NaN;6;NaN;3;48;PM2.5;Baik
08/07/2021;29;54;NaN;2;NaN;2;54;PM2.5;Sedang
08/08/2021;40;63;NaN;3;NaN;4;63;PM2.5;Sedang
08/09/2021;32;56;NaN;5;NaN;4;56;PM2.5;Sedang
08/10/2021;21;43;NaN;6;NaN;3;43;PM2.5;Baik
08/11/2021;13;29;NaN;3;NaN;3;29;PM2.5;Baik
08/12/2021;18;38;NaN;3;NaN;3;38;PM2.5;Baik
08/13/2021;17;35;NaN;2;NaN;2;35;PM2.5;Baik
08/14/2021;18;36;NaN;1;NaN;2;36;PM2.5;Baik
08/15/2021;19;38;NaN;3;NaN;2;38;PM2.5;Baik
08/16/2021;19;38;NaN;3;NaN;3;38;PM2.5;Baik
08/17/2021;15;30;NaN;3;NaN;3;30;PM2.5;Baik
08/18/2021;16;33;NaN;1;NaN;3;33;PM2.5;Baik
08/19/2021;13;28;NaN;1;NaN;4;28;PM2.5;Baik
08/20/2021;10;22;NaN;2;NaN;3;22;PM2.5;Baik
08/21/2021;10;21;NaN;2;NaN;2;21;PM2.5;Baik
08/22/2021;10;21;NaN;0;NaN;2;21;PM2.5;Baik
08/23/2021;14;28;NaN;2;NaN;3;28;PM2.5;Baik
08/24/2021;16;31;NaN;3;NaN;3;31;PM2.5;Baik
08/25/2021;12;24;NaN;4;NaN;3;24;PM2.5;Baik
08/26/2021;11;23;NaN;6;NaN;3;23;PM2.5;Baik
08/27/2021;13;26;NaN;7;NaN;3;26;PM2.5;Baik
08/28/2021;12;25;NaN;8;NaN;3;25;PM2.5;Baik
08/29/2021;19;38;NaN;11;NaN;3;38;PM2.5;Baik
08/30/2021;14;28;NaN;7;NaN;3;28;PM2.5;Baik
08/31/2021;15;29;NaN;9;NaN;4;29;PM2.5;Baik
09/01/2021;18;33;0;7;3;4;33;PM2.5;Baik
09/02/2021;10;22;NaN;8;NaN;3;22;PM2.5;Baik
09/03/2021;8;18;NaN;6;NaN;3;18;PM2.5;Baik
09/04/2021;13;27;NaN;9;NaN;3;27;PM2.5;Baik
09/05/2021;13;27;NaN;8;NaN;3;27;PM2.5;Baik
09/06/2021;19;38;NaN;9;NaN;4;38;PM2.5;Baik
09/07/2021;20;39;NaN;9;NaN;2;39;PM2.5;Baik
09/08/2021;12;24;NaN;6;NaN;2;24;PM2.5;Baik
09/09/2021;11;23;NaN;8;NaN;3;23;PM2.5;Baik
09/10/2021;16;31;55;8;NaN;6;55;SO2;Sedang
09/11/2021;15;29;40;7;7;7;40;SO2;Baik
09/12/2021;15;28;57;8;40;6;57;SO2;Sedang
09/13/2021;17;29;54;12;44;6;54;SO2;Sedang
09/14/2021;20;36;7;10;7;5;36;PM2.5;Baik
09/15/2021;12;21;0;9;2;5;21;PM2.5;Baik
09/16/2021;13;25;5;10;20;6;25;PM2.5;Baik
09/17/2021;16;31;1;9;3;5;31;PM2.5;Baik
09/18/2021;19;36;1;10;9;5;36;PM2.5;Baik
09/19/2021;16;30;3;9;23;6;30;PM2.5;Baik
09/20/2021;10;20;2;5;20;6;20;O3;Baik
09/21/2021;12;24;0;6;3;5;24;PM2.5;Baik
09/22/2021;18;31;1;12;9;5;31;PM2.5;Baik
09/23/2021;20;36;5;10;23;7;36;PM2.5;Baik
09/24/2021;19;35;2;8;20;7;35;PM2.5;Baik
09/25/2021;22;40;0;9;3;6;40;PM2.5;Baik
09/26/2021;20;37;0;8;6;7;37;PM2.5;Baik
09/27/2021;14;25;1;8;17;7;25;PM2.5;Baik
09/28/2021;11;21;0;5;2;5;21;PM2.5;Baik
09/29/2021;15;27;0;6;0;5;27;PM2.5;Baik
09/30/2021;18;33;0;7;3;4;33;PM2.5;Baik
10/01/2021;15;27;1;7;12;4;27;PM2.5;Baik
10/02/2021;16;29;8;7;34;3;34;O3;Baik
10/03/2021;10;19;22;4;63;4;63;O3;Sedang
10/04/2021;10;20;24;6;68;5;68;O3;Sedang
10/05/2021;15;27;4;9;13;4;27;PM2.5;Baik
10/06/2021;9;17;3;6;19;4;19;O3;Baik
10/07/2021;8;15;6;8;35;6;35;O3;Baik
10/08/2021;12;22;1;7;9;5;22;PM2.5;Baik
10/09/2021;12;23;0;5;6;4;23;PM2.5;Baik
10/10/2021;12;23;8;5;35;4;35;O3;Baik
10/11/2021;12;22;21;5;52;5;52;O3;Sedang
10/12/2021;13;24;6;6;12;4;24;PM2.5;Baik
10/13/2021;10;19;4;5;19;4;19;PM2.5;Baik
10/14/2021;10;20;3;5;15;4;20;PM2.5;Baik
10/15/2021;14;26;11;7;38;5;38;O3;Baik
10/16/2021;14;27;7;7;25;4;27;PM2.5;Baik
10/17/2021;16;29;18;9;56;5;56;O3;Sedang
10/18/2021;21;37;21;8;59;6;59;O3;Sedang
10/19/2021;20;33;15;13;18;7;33;PM2.5;Baik
10/20/2021;19;32;1;9;7;4;32;PM2.5;Baik
10/21/2021;14;24;0;8;2;4;24;PM2.5;Baik
10/22/2021;11;20;0;6;0;3;20;PM2.5;Baik
10/23/2021;10;19;0;6;3;5;19;PM2.5;Baik
10/24/2021;11;20;0;5;4;5;20;PM2.5;Baik
10/25/2021;12;21;0;7;5;5;21;PM2.5;Baik
10/26/2021;13;23;0;7;0;4;23;PM2.5;Baik
10/27/2021;13;22;0;9;0;4;22;PM2.5;Baik
10/28/2021;13;23;0;15;9;6;23;PM2.5;Baik
10/29/2021;14;24;0;12;1;4;24;PM2.5;Baik
10/30/2021;16;29;0;16;0;0;29;PM2.5;Baik
10/31/2021;16;29;0;16;0;0;29;PM2.5;Baik
11/01/2021;16;28;0;17;0;1;28;PM2.5;Baik
11/02/2021;20;34;0;25;0;6;34;PM2.5;Baik
11/03/2021;14;24;0;15;0;7;24;PM2.5;Baik
11/04/2021;14;22;0;15;0;6;22;PM2.5;Baik
11/05/2021;14;23;0;12;0;5;23;PM2.5;Baik
11/06/2021;16;26;0;11;0;5;26;PM2.5;Baik
11/07/2021;15;26;0;10;1;7;26;PM2.5;Baik
11/08/2021;16;27;0;17;1;9;27;PM2.5;Baik
11/09/2021;12;21;NaN;8;12;5;21;PM2.5;Baik
11/10/2021;7;14;20;5;25;5;25;O3;Baik
11/11/2021;4;10;4;14;55;3;55;O3;Sedang
11/12/2021;8;17;0;21;71;5;71;O3;Sedang
11/13/2021;3;6;1;26;61;5;61;O3;Sedang
11/14/2021;8;15;10;19;34;4;34;O3;Baik
11/15/2021;7;14;7;19;32;3;32;O3;Baik
11/16/2021;11;20;3;23;29;2;29;O3;Baik
11/17/2021;8;15;0;21;39;2;39;O3;Baik
11/18/2021;8;17;0;19;41;2;41;O3;Baik
11/19/2021;9;17;0;19;40;2;40;O3;Baik
11/20/2021;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/21/2021;18;36;NaN;24;23;2;36;PM2.5;Baik
11/22/2021;32;52;0;21;25;2;52;PM2.5;Sedang
11/23/2021;18;33;9;25;17;1;33;PM2.5;Baik
11/24/2021;11;22;43;20;22;1;43;SO2;Baik
11/25/2021;10;22;41;16;35;1;41;SO2;Baik
11/26/2021;9;20;32;15;44;1;44;O3;Baik
11/27/2021;7;16;41;20;35;1;41;SO2;Baik
11/28/2021;8;17;46;21;27;1;46;SO2;Baik
11/29/2021;15;29;48;23;23;1;48;SO2;Baik
11/30/2021;42;51;29;20;31;0;51;PM2.5;Sedang
12/01/2021;18;29;22;16;43;0;43;O3;Baik
12/02/2021;41;21;24;17;39;0;41;PM10;Baik
12/03/2021;24;19;20;16;40;0;40;O3;Baik
12/04/2021;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12/05/2021;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12/06/2021;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12/07/2021;19;0;14;16;33;0;33;O3;Baik
12/08/2021;24;0;22;19;26;1;26;O3;Baik
12/09/2021;22;0;13;15;27;1;27;O3;Baik
12/10/2021;18;0;9;19;8;2;19;CO;Baik
12/11/2021;17;0;7;20;6;1;20;CO;Baik
12/12/2021;17;0;1;15;10;1;17;PM10;Baik
12/13/2021;17;0;3;16;5;1;17;PM10;Baik
12/14/2021;17;0;4;19;2;2;19;CO;Baik
12/15/2021;17;0;7;19;1;2;19;CO;Baik
12/16/2021;17;0;9;22;1;2;22;CO;Baik
12/17/2021;11;0;13;20;5;8;20;CO;Baik
12/18/2021;11;0;13;20;9;10;20;CO;Baik
12/19/2021;13;0;22;24;4;10;24;CO;Baik
12/20/2021;13;0;18;22;3;12;22;CO;Baik
12/21/2021;23;0;18;24;3;11;24;CO;Baik
12/22/2021;43;0;16;22;1;10;43;PM10;Baik
12/23/2021;21;0;9;19;3;11;21;PM10;Baik
12/24/2021;12;0;9;18;5;11;18;CO;Baik
12/25/2021;13;0;19;25;3;11;25;CO;Baik
12/26/2021;14;0;10;18;3;11;18;CO;Baik
12/27/2021;23;0;9;17;2;11;23;PM10;Baik
12/28/2021;16;0;12;19;1;11;19;CO;Baik
12/29/2021;25;0;9;20;1;10;25;PM10;Baik
12/30/2021;10;0;10;20;2;11;20;CO;Baik
12/31/2021;13;0;9;20;2;10;20;CO;Baik
01/01/2022;16;0;8;18;1;11;18;CO;Baik
01/02/2022;10;0;8;16;1;11;16;CO;Baik
01/03/2022;11;0;9;17;1;11;17;CO;Baik
01/04/2022;19;0;9;19;1;10;19;PM10;Baik
01/05/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
01/06/2022;0;0;0;14;0;6;14;CO;Baik
01/07/2022;0;0;9;8;0;6;9;SO2;Baik
01/08/2022;0;0;29;8;0;8;29;SO2;Baik
01/09/2022;0;0;19;15;0;10;19;SO2;Baik
01/10/2022;0;0;17;18;0;12;18;CO;Baik
01/11/2022;0;0;13;17;0;12;17;CO;Baik
01/12/2022;0;0;13;20;0;11;20;CO;Baik
01/13/2022;6;0;15;22;0;12;22;CO;Baik
01/14/2022;24;0;19;24;0;13;24;PM10;Baik
01/15/2022;28;0;10;20;0;12;28;PM10;Baik
01/16/2022;33;0;15;23;0;14;33;PM10;Baik
01/17/2022;33;0;15;22;1;14;33;PM10;Baik
01/18/2022;25;0;15;22;3;14;25;PM10;Baik
01/19/2022;29;0;8;19;6;13;29;PM10;Baik
01/20/2022;25;2;10;19;8;14;25;PM10;Baik
01/21/2022;11;13;13;21;6;13;21;CO;Baik
01/22/2022;8;14;7;18;5;10;18;CO;Baik
01/23/2022;9;15;4;16;3;11;16;CO;Baik
01/24/2022;8;13;5;15;5;10;15;CO;Baik
01/25/2022;10;19;4;15;8;10;19;PM2.5;Baik
01/26/2022;14;28;5;18;8;10;28;PM2.5;Baik
01/27/2022;16;31;9;22;3;11;31;PM2.5;Baik
01/28/2022;14;27;8;20;3;11;27;PM2.5;Baik
01/29/2022;18;37;6;19;2;11;37;PM2.5;Baik
01/30/2022;24;50;5;19;3;13;50;PM2.5;Sedang
01/31/2022;17;34;7;18;2;12;34;PM2.5;Baik
02/01/2022;28;54;6;20;2;11;54;PM2.5;Sedang
02/02/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/03/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/04/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/05/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/06/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/07/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/08/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
